Stamp,global vel x [m/s],global vel y [m/s],velocity [km/h]
6.090001821517944,-26.3242,0.2377,94.77098337472711
6.18999981880188,-27.0293,1.0018,97.37229141814832
6.2900002002716064,-26.8731,1.4905,96.8918511353024
6.400001525878906,-25.2515,1.9773,91.1836699158265
6.480000019073486,-25.6716,2.9731,93.03547709021113
6.580002546310425,-25.6076,2.9873,92.81252007185238
6.689997673034668,-26.1706,4.7592,95.75934286240691
6.78999662399292,-25.9173,5.526,95.3995323581746
6.8899986743927,-25.1457,5.8456,92.93839567872905
6.989996671676636,-25.3658,6.518,94.28345248225905
7.089996099472046,-25.2035,7.3037,94.46556716276254
7.199997425079346,-24.6408,8.2963,93.59983511500862
7.289996862411499,-25.4847,9.1507,97.47994650058442
7.390009641647339,-24.0459,9.5261,93.11077525581668
7.489999055862427,-24.7629,10.6751,97.07718750768997
7.589996576309204,-24.2656,10.5624,95.27314383956897
7.689999341964722,-24.4496,10.9927,96.50567972462554
7.78999662399292,-23.503,11.4367,94.09639175831558
7.889995813369751,-22.7542,12.6643,93.74790628704622
7.990000486373901,-23.0567,13.2774,95.78305655398557
8.09000825881958,-22.9385,13.9479,96.6463362405094
8.189998865127563,-21.4831,13.5423,91.4228115663919
8.289997577667236,-21.3987,14.5448,93.14582207882864
8.390009880065918,-21.3478,15.2232,94.39103773514094
8.490007162094116,-20.6583,16.1794,94.46405098512344
8.599998474121094,-20.3363,16.4782,94.22763077342442
8.69000768661499,-20.1495,17.4176,95.8827503492135
8.78999638557434,-19.8765,18.0814,96.733030168612
8.89000153541565,-18.9811,18.2041,94.67872794719625
8.990001201629639,-18.5453,18.8917,95.30312310465382
9.09000039100647,-18.3512,19.5656,96.56990738634887
9.189998865127563,-17.6326,19.8036,95.45711800662745
9.290006160736084,-17.0367,20.1552,95.00735125101004
9.390000104904175,-16.6536,20.3242,94.5927315487612
9.490067720413208,-16.1059,21.3619,96.31132328030385
9.589998960494995,-15.6913,21.9356,97.09243668756079
9.690000295639038,-14.8221,21.5782,94.24256571689885
9.789999723434448,-14.8402,22.0886,95.79909032219462
9.890007734298706,-14.1163,22.8303,96.63117047924443
9.990039348602295,-13.3212,22.9811,95.62628212674589
10.090065240859985,-12.4529,22.9164,93.89281096822695
10.189999103546143,-12.087,23.0544,93.71076795942716
10.290000677108765,-11.7633,24.5223,97.9119542107745
10.390119791030884,-11.4697,24.3241,96.81362265375675
10.500075340270996,-10.3234,23.7727,93.30279488276865
10.590065717697144,-10.354,25.0772,97.67028071469028
10.68006682395935,-9.6063,24.9317,96.1860894982055
10.790067195892334,-9.6009,24.6412,95.20390536380323
10.890000820159912,-8.545,24.184,92.33721967744101
10.980110883712769,-8.1242,25.5243,96.42978279061299
11.090074062347412,-8.1018,27.095,101.80925949829121
11.190000534057617,-7.4623,24.1755,91.08360857562903
11.290001392364502,-7.2132,25.7028,96.1047751142304
