id,Stamp,x_global,y_global,vx_global,vy_global,v
2,14.100008964538574,3828.6471,2513.0955,-5.4498,5.2747,27.30375854135837
1,14.100008964538574,3863.8152,2480.4071,-7.4643,9.4448,43.33778350387569
2,14.210004091262817,3828.2292,2513.5514,-5.3359,5.2373,26.916143403095475
1,14.210004091262817,3862.9091,2481.5242,-8.4079,10.5292,48.50748996029375
2,14.310014009475708,3827.5594,2514.2265,-5.5909,5.4195,28.031298472557424
1,14.310014009475708,3862.0549,2482.599,-8.0318,10.0794,46.39729882413415
2,14.410006523132324,3826.9647,2514.6703,-5.816,5.2425,28.188175229340402
1,14.410006523132324,3861.2525,2483.5846,-8.2627,10.2894,47.50690232907215
2,14.510003566741943,3826.552,2515.5402,-5.3481,5.9989,28.93221584440431
1,14.510003566741943,3860.4105,2484.5723,-8.081,9.8205,45.78441181231883
2,14.610001802444458,3826.2676,2515.9613,-4.8793,5.6366,26.838435340533547
1,14.610001802444458,3859.5302,2485.6056,-8.6109,10.3277,48.40748351087878
2,14.700008869171143,3825.5575,2516.5213,-5.4198,5.4287,27.615781789781003
1,14.700008869171143,3858.7393,2486.4697,-8.0172,9.2758,44.137227606418605
2,14.80000901222229,3825.0545,2516.9846,-5.6277,5.4716,28.25699919481897
1,14.80000901222229,3857.9058,2487.4683,-8.7243,10.2144,48.35905310214417
2,14.920020341873169,3824.3104,2517.9561,-5.9067,6.1636,30.7329260770269
1,14.920020341873169,3856.8161,2488.7004,-8.6987,10.0027,47.7215800365076
2,15.010018110275269,3824.0576,2518.6553,-5.2154,6.3823,29.671983247366526
1,15.010018110275269,3856.1048,2489.6508,-8.2469,9.9645,46.56438503175576
2,15.10001516342163,3823.6007,2519.1422,-5.2232,6.0745,28.8407790399358
1,15.10001516342163,3855.3201,2490.5358,-8.3501,9.8513,46.49052345190362
2,15.210025072097778,3823.1907,2519.7698,-5.0689,6.142,28.66873086276405
1,15.210025072097778,3854.2871,2491.7399,-9.2711,10.8804,51.460662022900564
2,15.300016164779663,3822.4728,2520.3268,-5.5743,5.7478,28.82474506872177
1,15.300016164779663,3853.4667,2492.6776,-8.5059,9.881,46.936116857891
2,15.400012254714966,3822.1507,2520.9688,-5.2402,6.0968,28.941552048720542
1,15.400012254714966,3852.5549,2493.6568,-9.1763,10.3681,49.84433419886357
2,15.510011434555054,3821.5992,2521.7844,-5.225,6.34,29.576191032653274
